filename,doi
Abstract00001.txt,10.1002/adma.201000197
Abstract00002.txt,10.1021/ja011048v
Abstract00003.txt,10.1107/S0108768192002453
Abstract00004.txt,10.1021/jacs.5b01025
Abstract00005.txt,10.1021/acs.chemrev.1c00644
Abstract00006.txt,10.1021/acs.chemrev.6b00755
Abstract00007.txt,10.1021/acsnano.6b03863
Abstract00008.txt,10.1038/s41578-019-0080-9
Abstract00009.txt,10.1088/0964-1726/23/3/033001
Abstract00010.txt,10.1021/ar0000105
Abstract00011.txt,10.1063/1.459240
Abstract00012.txt,10.1021/cm034729t
Abstract00013.txt,10.1021/ar068084p
Abstract00014.txt,10.1021/ar700025k
Abstract00015.txt,10.1021/acs.chemrev.6b00627
Abstract00016.txt,10.1038/s41563-018-0262-7
Abstract00017.txt,10.1021/nn901819n
Abstract00018.txt,10.1021/ar300291s
Abstract00019.txt,10.1002/anie.201201200
Abstract00020.txt,10.1021/cm000506g
Abstract00021.txt,10.1016/j.msec.2005.01.008
Abstract00022.txt,10.1002/adfm.200902347
Abstract00023.txt,10.1021/cm980666g
Abstract00024.txt,10.1002/adma.201605242
Abstract00025.txt,10.1038/s41578-020-0181-5
Abstract00026.txt,10.1039/c2cs35330j
Abstract00027.txt,10.1039/c6mh00218h
Abstract00028.txt,10.1021/nl015673+
Abstract00029.txt,10.1016/S1387-1811(99)00295-4
Abstract00030.txt,10.1002/adom.201400571
Abstract00031.txt,10.1039/b313412c
Abstract00032.txt,10.1039/c4cs00230j
Abstract00033.txt,10.1021/cr400334b
Abstract00034.txt,10.1021/ci00038a003
Abstract00035.txt,10.1039/b822552b
Abstract00036.txt,10.1021/acs.chemrev.6b00172
Abstract00037.txt,10.1002/adma.201605005
Abstract00038.txt,10.1038/natrevmats.2016.53
Abstract00039.txt,10.1021/ja0523338
Abstract00040.txt,10.1039/c8cs00656c
Abstract00041.txt,10.1146/annurev-physchem-040215-112222
Abstract00042.txt,10.1021/cm9605577
Abstract00043.txt,10.1039/c8ee03559h
Abstract00044.txt,10.1039/c0cs00163e
Abstract00045.txt,10.1021/cm200597m
Abstract00046.txt,10.1021/cm011209u
Abstract00047.txt,10.1039/d0cs00779j
Abstract00048.txt,10.1021/ja506936f
Abstract00049.txt,10.1038/nmat5035
Abstract00050.txt,10.1039/c4ee00168k
Abstract00051.txt,10.1021/ar200006r
